0.611000,1.00,64
107.872002,2.00,64
191.565994,3.00,64
277.790009,4.00,64
448.582001,5.00,64
572.372986,6.00,64
649.103027,7.00,64
773.119019,8.00,64
870.557007,9.00,64
967.450012,10.00,64
1079.124023,11.00,64
1178.980957,12.00,64
1277.583008,13.00,64
1474.458984,13.00,64
1474.480957,1.00,6
1674.385986,1.00,6
1674.414062,1.00,2
2066.897949,1.00,2
2066.905029,1.00,2
2332.761963,2.00,2
2335.761963,3.00,2
2336.563965,3.33,2
2336.918945,3.63,2
2336.933105,3.63,2
2336.935059,1.00,2
2409.187012,2.00,2
2437.756104,3.00,2
2493.707031,3.33,2
2578.700928,3.63,2
2657.779053,3.91,2
2744.146973,4.16,2
2822.605957,4.40,2
2906.583984,4.63,2
2983.604004,4.85,2
3072.187988,5.05,2
3155.759033,5.25,2
3235.288086,5.44,2
3312.572021,5.63,2
3396.086914,5.80,2
3480.927979,5.98,2
3563.927002,6.14,2
3646.697021,6.31,2
3725.974121,6.46,2
3810.256104,6.62,2
3892.339111,6.77,2
3989.277100,6.77,2
3989.287109,1.00,3
3995.836914,2.00,3
4105.039062,2.00,3
4105.049805,1.00,2
4108.270020,2.00,2
4108.479004,3.00,2
4182.149902,3.33,2
4185.743164,3.63,2
4268.040039,3.91,2
4350.218750,4.16,2
4430.778809,4.40,2
4512.165039,4.63,2
4591.686035,4.85,2
4678.472168,5.05,2
4761.396973,5.25,2
4852.068848,5.25,2
4852.100098,1.00,2
4854.149902,2.00,2
4944.755859,2.00,2
4944.776855,1.00,2
4947.582031,2.00,2
4947.786133,3.00,2
5034.985840,3.33,2
5035.091797,3.63,2
5112.562012,3.91,2
5191.389160,4.16,2
5267.773926,4.40,2
5345.332031,4.63,2
5423.870117,4.85,2
5502.020020,5.05,2
5593.950195,5.05,2
5593.958008,1.00,2
5594.554199,2.00,2
5676.269043,3.00,2
5676.455078,4.00,2
5758.608887,4.25,2
5848.874023,4.49,2
5946.786133,4.49,2
5946.798828,1.00,2
5950.769043,2.00,2
6035.096191,3.00,2
6035.286133,4.00,2
6114.930176,4.25,2
6197.206055,4.49,2
6273.399902,4.71,2
6357.871094,4.92,2
6451.666016,4.92,2
6451.673828,1.00,2
6458.370117,2.00,2
6542.906250,3.00,2
6542.992188,4.00,2
6619.992188,4.25,2
6703.303223,4.49,2
6788.394043,4.71,2
6869.192871,4.92,2
6948.815918,5.12,2
7031.747070,5.32,2
7119.938965,5.32,2
7119.946777,1.00,2
7139.861816,2.00,2
7207.865234,3.00,2
7231.598145,4.00,2
7311.767090,4.25,2
7393.401855,4.49,2
7480.857910,4.71,2
7575.199219,4.71,2
7575.207031,1.00,2
7611.445801,2.00,2
7663.912109,3.00,2
7700.205078,4.00,2
7778.666992,4.25,2
7853.623047,4.49,2
